0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.178,0.178,-0.004,-0.004,0.077,0.077,-0.032,-0.032,0.076,-0.112,0.127,0.175,-0.091,-0.015,-0.015,-0.06,0.137,0.191,0.191,-0.063,-0.031,-0.031,-0.002,-0.002,-0.164,-0.164,0.093,0.093,-0.159,-0.159,-0.051,0.148,-0.013,-0.065,0.143,0.143,0.072,0.147
-0.022,-0.022,-0.11,-0.11,0.08,0.08,0.034,0.034,-0.102,-0.022,0.093,-0.036,0.325,0.11,0.11,0.317,-0.21,0.198,0.198,0.063,0.117,0.117,0.126,0.126,-0.054,-0.054,-0.101,-0.101,-0.009,-0.009,-0.027,0.06,0.062,-0.057,0.014,0.014,-0.052,-0.039
-0.195,-0.195,0.352,0.352,-0.34,-0.34,-0.411,-0.411,0.211,-0.224,0.219,-0.078,-0.119,-0.064,-0.064,-0.015,-0.041,0.019,0.019,-0.207,0.09,0.09,0.046,0.046,0.101,0.101,0.021,0.021,-0.011,-0.011,-0.127,0.048,-0.074,-0.427,-0.216,-0.216,-0.272,-0.325
-0.061,-0.061,0.003,0.003,-0.139,-0.139,0.081,0.081,0.094,0.236,-0.154,-0.082,-0.101,-0.111,-0.111,-0.111,0.159,0.182,0.182,-0.146,0.101,0.101,0.205,0.205,0.014,0.014,0.048,0.048,-0.042,-0.042,-0.264,0.219,0.024,-0.061,0.238,0.238,-0.025,0.166
-0.031,-0.031,-0.225,-0.225,0.092,0.092,0.216,0.216,-0.206,0.318,-0.339,0.408,0.007,0.046,0.046,-0.165,0.097,-0.17,-0.17,-0.221,-0.21,-0.21,0.03,0.03,0.128,0.128,0.093,0.093,0.062,0.062,-0.183,0.287,-0.145,0.098,0.096,0.096,0.18,0.064
0.27,0.27,0.08,0.08,-0.079,-0.079,0.32,0.32,-0.251,0.128,-0.051,0.005,0.342,0.236,0.236,0.329,-0.127,0.237,0.237,0.053,0.317,0.317,-0.039,-0.039,0.116,0.116,0.044,0.044,0.146,0.146,-0.166,0.054,0.025,0.133,-0.018,-0.018,0.156,0.156
0.009,0.009,-0.152,-0.152,0.124,0.124,0.15,0.15,-0.318,-0.206,0.242,-0.119,-0.074,-0.035,-0.035,-0.283,0.381,0.17,0.17,-0.394,-0.087,-0.087,0.069,0.069,0.101,0.101,0.035,0.035,-0.009,-0.009,-0.151,0.092,0.253,-0.108,0.017,0.017,-0.097,-0.052
-0.028,-0.028,0.366,0.366,-0.313,-0.313,-0.071,-0.071,0.297,0.201,-0.245,0.055,0.18,0.084,0.084,0.037,0.14,0.127,0.127,-0.267,-0.159,-0.159,0.04,0.04,-0.337,-0.337,-0.003,-0.003,-0.274,-0.274,-0.166,0.214,-0.054,0.011,0.012,0.012,0.106,0.042
-0.095,-0.095,-0.055,-0.055,-0.028,-0.028,-0.01,-0.01,-0.142,0.317,-0.324,0.226,0.193,0.136,0.136,-0.335,0.391,0.022,0.022,0.031,-0.042,-0.042,-0.101,-0.101,0.081,0.081,0.046,0.046,0.12,0.12,0.022,0.061,-0.262,0.169,-0.039,-0.039,0.061,0.223
0.045,0.045,-0.014,-0.014,0.078,0.078,0.172,0.172,-0.048,0.003,0.004,-0.087,0.082,0.044,0.044,0.082,0.013,0.007,0.007,-0.148,0.081,0.081,-0.097,-0.097,0.03,0.03,0.194,0.194,-0.074,-0.074,-0.066,0.169,-0.119,-0.16,0.16,0.16,0.07,-0.143
