0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.181,-0.181,0.0,0.0,0.0,0.132,-0.132,0.0,0.0,-0.011,0.011,0.333,-0.333,-0.03,0.03,0.0,0.0,0.0
0.0,0.0,-0.276,0.276,0.0,0.0,0.0,0.046,-0.046,0.0,0.0,0.038,-0.038,0.074,-0.074,-0.08,0.08,0.0,0.0,0.0
0.0,0.0,0.13,-0.13,0.0,0.0,0.0,-0.061,0.061,0.0,0.0,0.056,-0.056,0.146,-0.146,0.129,-0.129,0.0,0.0,0.0
0.0,0.0,-0.141,0.141,0.0,0.0,0.0,0.328,-0.328,0.0,0.0,0.0,-0.0,0.282,-0.282,0.119,-0.119,0.0,0.0,0.0
0.0,0.0,-0.145,0.145,0.0,0.0,0.0,0.048,-0.048,0.0,0.0,-0.027,0.027,-0.143,0.143,-0.149,0.149,0.0,0.0,0.0
0.0,0.0,0.064,-0.064,0.0,0.0,0.0,0.112,-0.112,0.0,0.0,-0.043,0.043,0.145,-0.145,-0.234,0.234,0.0,0.0,0.0
0.0,0.0,0.164,-0.164,0.0,0.0,0.0,0.166,-0.166,0.0,0.0,0.08,-0.08,0.217,-0.217,-0.004,0.004,0.0,0.0,0.0
0.0,0.0,-0.026,0.026,0.0,0.0,0.0,-0.091,0.091,0.0,0.0,-0.028,0.028,-0.102,0.102,0.153,-0.153,0.0,0.0,0.0
0.0,0.0,0.18,-0.18,0.0,0.0,0.0,0.003,-0.003,0.0,0.0,0.012,-0.012,0.152,-0.152,0.106,-0.106,0.0,0.0,0.0
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.031,-0.031,0.0,0.0,0.036,-0.036,0.121,-0.121,0.083,-0.083,0.0,0.0,0.0
0.0,0.0,0.153,-0.153,0.0,0.0,0.0,-0.173,0.173,0.0,0.0,-0.069,0.069,-0.217,0.217,0.107,-0.107,0.0,0.0,0.0
0.0,0.0,0.039,-0.039,0.0,0.0,0.0,-0.222,0.222,0.0,0.0,-0.009,0.009,-0.017,0.017,-0.113,0.113,0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.073,-0.073,0.113,-0.113,-0.194,0.194,0.0,0.0,0.0
0.0,0.0,-0.124,0.124,0.0,0.0,0.0,0.015,-0.015,0.0,0.0,-0.03,0.03,0.019,-0.019,-0.051,0.051,0.0,0.0,0.0
0.0,0.0,-0.199,0.199,0.0,0.0,0.0,0.161,-0.161,0.0,0.0,-0.02,0.02,-0.015,0.015,0.179,-0.179,0.0,0.0,0.0
0.0,0.0,0.01,-0.01,0.0,0.0,0.0,0.189,-0.189,0.0,0.0,-0.049,0.049,-0.083,0.083,0.021,-0.021,0.0,0.0,0.0
0.0,0.0,-0.209,0.209,0.0,0.0,0.0,0.007,-0.007,0.0,0.0,-0.012,0.012,0.024,-0.024,0.087,-0.087,0.0,0.0,0.0
0.0,0.0,-0.014,0.014,0.0,0.0,0.0,0.059,-0.059,0.0,0.0,-0.014,0.014,-0.073,0.073,0.0,-0.0,0.0,0.0,0.0
0.0,0.0,-0.055,0.055,0.0,0.0,0.0,0.031,-0.031,0.0,0.0,0.012,-0.012,0.215,-0.215,0.007,-0.007,0.0,0.0,0.0
0.0,0.0,-0.283,0.283,0.0,0.0,0.0,-0.016,0.016,0.0,0.0,0.063,-0.063,0.0,-0.0,0.15,-0.15,0.0,0.0,0.0
