0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.32,-0.32,0.0,-0.0,0.0,0.043,-0.043
0.0,0.0,0.0,-0.176,0.176,-0.08,0.08,0.0,-0.046,0.046
0.0,0.0,0.0,-0.206,0.206,0.036,-0.036,0.0,0.403,-0.403
0.0,0.0,0.0,0.125,-0.125,0.096,-0.096,0.0,-0.162,0.162
0.0,0.0,0.0,0.0,-0.0,0.163,-0.163,0.0,0.124,-0.124
0.0,0.0,0.0,0.345,-0.345,-0.229,0.229,0.0,0.098,-0.098
0.0,0.0,0.0,-0.031,0.031,0.329,-0.329,0.0,0.0,-0.0
0.0,0.0,0.0,0.127,-0.127,0.037,-0.037,0.0,-0.081,0.081
0.0,0.0,0.0,0.267,-0.267,0.111,-0.111,0.0,0.269,-0.269
0.0,0.0,0.0,0.011,-0.011,-0.237,0.237,0.0,-0.045,0.045
