0,1,2,3,4,5,6,7,8,9
0.139,0.22,0.274,0.847,0.847,0.578,0.578,0.774,0.774,0.654
0.835,0.835,0.147,0.24,0.284,0.777,0.777,0.664,0.664,0.577
0.801,0.801,0.148,0.238,0.276,0.813,0.746,0.609,0.609,0.516
0.836,0.836,0.147,0.246,0.286,0.78,0.78,0.616,0.616,0.589
0.803,0.803,0.127,0.194,0.258,0.793,0.494,0.494,0.653,0.6
0.886,0.886,0.138,0.22,0.283,0.777,0.539,0.539,0.658,0.584
0.142,0.795,0.795,0.244,0.291,0.837,0.712,0.712,0.578,0.647
0.134,0.22,0.29,0.829,0.829,0.765,0.765,0.573,0.573,0.636
0.857,0.857,0.139,0.224,0.285,0.774,0.774,0.586,0.586,0.647
0.866,0.866,0.155,0.234,0.261,0.857,0.556,0.556,0.714,0.69
