5,6,1,2,3,4,7,8,9.0,12.0
2,3,1,4,7,5,6,8,,
3,4,1,2,5,6,7,8,9.0,
1,2,3,4,5,6,7,9,,
3,4,5,1,2,10,9,6,7.0,
3,1,2,4,5,6,7,8,,
3,4,5,6,1,2,8,9,10.0,
1,2,7,6,4,5,3,11,,
1,2,3,6,4,5,10,9,7.0,
3,1,2,4,5,6,10,9,7.0,
3,4,5,1,2,9,10,6,7.0,
3,1,2,4,5,8,9,6,7.0,
1,2,3,4,5,6,7,9,,
1,2,5,3,4,6,7,8,,
