0,1,2,3,4,5,6,7,8,9,10
0.517,-0.517,0.214,-0.214,0.023,-0.023,0.0,0.0,0.033,-0.033,0.0
0.219,-0.219,0.067,-0.067,0.125,-0.125,0.0,0.0,0.0,0.0,0.0
0.09,-0.09,0.0,0.126,-0.126,0.117,-0.117,0.043,-0.043,0.0,0.0
0.446,-0.446,0.0,0.016,-0.016,0.129,-0.129,0.169,-0.169,0.0,0.0
0.544,-0.544,0.022,-0.022,0.074,-0.074,0.0,0.0,0.015,-0.015,0.0
0.397,-0.397,0.084,-0.084,0.0,0.01,-0.01,0.0,0.0,0.007,-0.007
0.008,-0.008,0.144,-0.144,0.025,-0.025,0.0,0.0,0.0,0.0,0.0
0.392,-0.392,0.0,0.0,0.145,-0.145,0.014,-0.014,0.041,-0.041,0.0
0.0,0.147,-0.147,0.12,-0.12,0.0,0.0,0.0,0.038,-0.038,0.0
0.413,-0.413,0.0,0.0,0.146,-0.146,0.0,0.0,0.054,-0.054,0.0
0.244,-0.244,0.197,-0.197,0.056,-0.056,0.0,0.0,0.048,-0.048,0.0
0.0,0.154,-0.154,0.0,0.0,0.002,-0.002,0.04,-0.04,0.0,0.0
0.074,-0.074,0.0,0.0,0.0,0.0,0.042,-0.042,0.0,0.0,0.0
0.0,0.093,-0.093,0.152,-0.152,0.0,0.0,0.0,0.0,0.007,-0.007
0.159,-0.159,0.0,0.117,-0.117,0.0,0.112,-0.112,0.063,-0.063,0.0
0.33,-0.33,0.048,-0.048,0.294,-0.294,0.0,0.0,0.0,0.0,0.0
