0,1,2,3,4,5,6,7,8,9,10
0.557,0.557,0.685,0.685,0.651,0.651,0.798,0.905,0.858,0.858,0.867
0.639,0.639,0.704,0.704,0.805,0.805,0.961,0.949,0.893,0.804,0.846
0.679,0.679,0.974,0.819,0.819,0.875,0.875,0.916,0.916,0.755,0.787
0.495,0.495,0.989,0.9,0.9,0.818,0.818,0.709,0.709,0.51,0.629
0.399,0.399,0.973,0.973,0.894,0.894,0.707,0.88,0.794,0.794,0.772
0.56,0.56,0.757,0.757,0.716,0.967,0.967,0.808,0.886,0.87,0.87
0.579,0.579,0.883,0.883,0.785,0.785,0.948,0.923,0.883,0.829,0.852
0.503,0.503,0.445,0.619,0.816,0.816,0.929,0.929,0.857,0.857,0.866
0.582,0.658,0.658,0.778,0.778,0.992,0.972,0.752,0.879,0.879,0.842
0.672,0.672,0.419,0.676,0.797,0.797,1.034,0.855,0.9,0.9,0.955
0.79,0.79,0.534,0.534,0.473,0.473,0.577,0.745,0.941,0.941,1.002
0.436,0.5,0.5,0.593,0.671,0.787,0.787,0.868,0.868,0.861,0.881
0.587,0.587,0.603,0.699,0.95,0.798,0.852,0.852,0.867,0.885,0.91
0.578,0.632,0.632,0.85,0.85,0.72,0.78,0.838,0.947,0.924,0.924
0.523,0.523,0.709,0.79,0.79,0.973,0.879,0.879,0.897,0.897,0.797
0.357,0.357,0.348,0.348,0.604,0.604,0.995,0.93,0.615,0.776,0.73
