0,1,2,3,4,5,6,7,8,9,10
0.0,-0.0,0.0,0.0,0.0,-0.0,-0.03,0.03,-0.135,0.135,0.0
-0.075,0.075,0.0,0.0,-0.1,0.1,-0.079,0.079,0.191,-0.191,0.0
0.074,-0.074,0.0,0.0,-0.265,0.265,-0.006,0.006,-0.021,0.021,0.0
-0.036,0.036,0.0,0.0,-0.002,0.002,0.208,-0.208,0.041,-0.041,0.0
0.105,-0.105,0.0,0.0,0.018,-0.018,0.028,-0.028,0.0,-0.0,0.0
-0.184,0.184,0.0,0.0,-0.438,0.438,0.0,-0.0,-0.174,0.174,0.0
0.275,-0.275,0.0,0.0,0.05,-0.05,0.064,-0.064,0.102,-0.102,0.0
-0.001,0.001,0.0,0.0,0.175,-0.175,0.042,-0.042,0.132,-0.132,0.0
-0.078,0.078,0.0,0.0,-0.104,0.104,-0.05,0.05,0.193,-0.193,0.0
0.234,-0.234,0.0,0.0,-0.061,0.061,-0.028,0.028,0.041,-0.041,0.0
0.099,-0.099,0.0,0.0,-0.022,0.022,0.088,-0.088,-0.023,0.023,0.0
