0,1,2,3,4,5,6,7,8,9,10
0.174,0.174,-0.663,-0.116,-0.116,0.258,-0.036,-0.036,-0.064,-0.064,-0.089
-0.23,-0.23,0.356,-0.325,-0.325,0.249,0.09,0.09,-0.232,-0.232,0.418
0.469,0.469,0.191,-0.092,-0.092,0.026,0.064,0.064,-0.157,-0.157,0.193
-0.088,-0.088,-0.295,0.125,0.125,-0.746,0.081,0.081,0.207,0.207,-0.122
0.122,0.122,0.021,-0.097,-0.097,-0.289,0.375,0.375,-0.073,-0.073,0.392
-0.092,-0.092,0.342,-0.191,-0.191,-0.177,-0.092,-0.092,0.113,0.113,0.12
-0.114,-0.114,-0.1,0.427,0.427,-0.1,0.124,0.124,0.222,0.222,-0.185
-0.207,-0.207,-0.418,0.443,0.443,0.046,0.44,0.44,0.13,0.13,-0.464
0.089,0.089,-0.082,-0.105,-0.105,0.24,-0.005,-0.005,0.5,0.5,0.521
0.337,0.337,0.041,-0.162,-0.162,-0.03,-0.042,-0.042,0.143,0.143,-0.247
0.122,0.122,-0.008,0.029,0.029,-0.358,-0.177,-0.177,0.201,0.201,-0.123
