0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.206,-0.206,-0.327,0.327,0.312,-0.312,0.0,0.0,0.143,-0.143,0.0,0.022,-0.022,0.0
0.211,-0.211,0.158,-0.158,0.042,-0.042,0.0,0.0,0.018,-0.018,0.0,0.089,-0.089,0.0
0.045,-0.045,0.204,-0.204,0.084,-0.084,0.0,0.0,-0.106,0.106,0.0,-0.026,0.026,0.0
0.042,-0.042,-0.01,0.01,0.112,-0.112,0.0,0.0,0.048,-0.048,0.0,0.155,-0.155,0.0
-0.023,0.023,-0.145,0.145,-0.096,0.096,0.0,0.0,0.081,-0.081,0.0,0.031,-0.031,0.0
0.283,-0.283,0.0,-0.0,-0.141,0.141,0.0,0.0,-0.073,0.073,0.0,-0.101,0.101,0.0
0.0,-0.0,-0.23,0.23,-0.156,0.156,0.0,0.0,0.192,-0.192,0.0,-0.077,0.077,0.0
0.119,-0.119,0.113,-0.113,0.0,-0.0,0.0,0.0,0.123,-0.123,0.0,-0.148,0.148,0.0
0.033,-0.033,0.226,-0.226,0.116,-0.116,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
-0.033,0.033,-0.008,0.008,-0.125,0.125,0.0,0.0,0.162,-0.162,0.0,-0.016,0.016,0.0
0.046,-0.046,-0.221,0.221,0.04,-0.04,0.0,0.0,0.063,-0.063,0.0,-0.055,0.055,0.0
0.049,-0.049,0.237,-0.237,0.188,-0.188,0.0,0.0,-0.209,0.209,0.0,0.079,-0.079,0.0
-0.237,0.237,0.049,-0.049,0.089,-0.089,0.0,0.0,-0.064,0.064,0.0,-0.067,0.067,0.0
0.206,-0.206,0.161,-0.161,-0.225,0.225,0.0,0.0,-0.11,0.11,0.0,-0.074,0.074,0.0
