0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.0,-0.062,0.062,0.02,-0.02,0.0,0.013,-0.013,0.104,-0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.0,0.066,-0.066,0.192,-0.192,0.0,0.104,-0.104,0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.02,0.0,0.0,0.0
0.0,0.113,-0.113,-0.198,0.198,0.0,-0.009,0.009,0.006,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,-0.046,0.0,0.0,0.0
0.0,0.019,-0.019,0.238,-0.238,0.0,0.028,-0.028,-0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,-0.008,0.0,0.0,0.0
0.0,0.175,-0.175,0.021,-0.021,0.0,-0.012,0.012,-0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,-0.028,0.0,0.0,0.0
0.0,-0.24,0.24,0.186,-0.186,0.0,-0.006,0.006,-0.163,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,-0.047,0.0,0.0,0.0
0.0,0.011,-0.011,0.009,-0.009,0.0,-0.016,0.016,0.105,-0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,-0.051,0.0,0.0,0.0
0.0,-0.127,0.127,-0.036,0.036,0.0,-0.046,0.046,-0.136,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029,0.029,0.0,0.0,0.0
0.0,0.159,-0.159,0.075,-0.075,0.0,-0.081,0.081,0.082,-0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,0.025,0.0,0.0,0.0
0.0,-0.07,0.07,0.067,-0.067,0.0,0.002,-0.002,0.003,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013,0.013,0.0,0.0,0.0
0.0,0.209,-0.209,0.006,-0.006,0.0,0.005,-0.005,0.066,-0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,-0.002,0.0,0.0,0.0
0.0,-0.032,0.032,0.148,-0.148,0.0,0.125,-0.125,-0.115,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028,0.028,0.0,0.0,0.0
0.0,0.166,-0.166,-0.055,0.055,0.0,-0.002,0.002,0.063,-0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,-0.041,0.0,0.0,0.0
0.0,-0.239,0.239,0.238,-0.238,0.0,0.007,-0.007,0.104,-0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034,0.034,0.0,0.0,0.0
0.0,-0.117,0.117,0.117,-0.117,0.0,-0.062,0.062,-0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,-0.048,0.0,0.0,0.0
0.0,-0.008,0.008,0.073,-0.073,0.0,0.062,-0.062,0.039,-0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,-0.051,0.0,0.0,0.0
0.0,0.384,-0.384,-0.239,0.239,0.0,-0.103,0.103,-0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,0.026,0.0,0.0,0.0
0.0,0.028,-0.028,0.033,-0.033,0.0,-0.087,0.087,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,0.023,0.0,0.0,0.0
0.0,-0.038,0.038,0.069,-0.069,0.0,-0.105,0.105,0.049,-0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,-0.039,0.0,0.0,0.0
0.0,0.224,-0.224,-0.214,0.214,0.0,-0.051,0.051,-0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.011,0.0,0.0,0.0
0.0,0.102,-0.102,-0.084,0.084,0.0,0.042,-0.042,-0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,-0.034,0.0,0.0,0.0
0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.051,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.07,0.0,0.0,0.0
