0,1,2,3,4,5,6,7,8,9,10
-0.137,-0.137,-0.233,-0.233,0.164,0.164,0.172,0.264,-0.162,0.208,0.208
0.139,0.139,-0.294,-0.294,0.287,0.287,-0.132,0.292,0.417,0.076,0.076
0.042,0.042,0.215,0.215,-0.036,-0.036,0.555,-0.372,0.192,-0.109,-0.109
-0.058,-0.058,0.573,0.573,-0.539,-0.539,0.231,0.293,-0.589,-0.031,-0.031
0.056,0.056,-0.131,-0.131,0.271,0.271,-0.279,0.258,-0.123,0.246,0.246
-0.168,-0.168,0.047,0.047,0.318,0.318,-0.108,-0.287,0.228,0.036,0.036
-0.234,-0.234,-0.04,-0.04,0.13,0.13,0.2,0.288,0.194,0.132,0.132
-0.063,-0.063,-0.125,-0.125,0.276,0.276,-0.463,-0.337,-0.352,-0.436,-0.436
-0.237,-0.237,0.077,0.077,-0.293,-0.293,-0.303,0.488,0.01,0.485,0.485
0.493,0.493,-0.137,-0.137,0.194,0.194,0.155,0.047,-0.298,0.158,0.158
-0.266,-0.266,0.098,0.098,-0.208,-0.208,0.364,-0.184,-0.313,0.089,0.089
