0,1,2,3,4,5,6,7,8,9,10
0.29,0.29,0.118,0.118,-0.305,-0.305,0.281,0.318,-0.153,-0.095,-0.181
-0.042,-0.042,0.131,0.131,-0.346,-0.346,-0.071,0.003,0.045,0.154,-0.358
0.183,0.183,0.232,0.232,0.399,0.399,-0.496,-0.212,-0.247,0.705,-0.435
0.153,0.153,0.189,0.189,0.226,0.226,0.109,0.401,0.533,-0.039,0.333
-0.229,-0.229,-0.196,-0.196,-0.078,-0.078,0.16,0.458,-0.291,-0.057,-0.293
0.52,0.52,0.49,0.49,-0.005,-0.005,-0.036,-0.192,-0.661,-0.158,-0.069
-0.054,-0.054,-0.275,-0.275,0.207,0.207,0.051,0.577,0.241,0.477,-0.306
0.012,0.012,-0.253,-0.253,-0.309,-0.309,-0.67,-0.102,-0.115,0.308,-0.291
-0.232,-0.232,0.268,0.268,-0.491,-0.491,0.092,0.228,-0.172,0.252,-0.405
0.053,0.053,-0.041,-0.041,-0.046,-0.046,0.245,0.198,-0.019,0.233,0.132
-0.324,-0.324,-0.107,-0.107,0.063,0.063,0.332,0.112,-0.084,-0.017,0.299
