0,1,2,3,4,5,6,7,8,9
0.086,0.269,-0.458,-0.458,0.339,0.327,-0.04,-0.04,0.039,0.039
0.581,-0.346,-0.015,-0.015,0.194,0.203,-0.443,-0.443,0.347,0.347
0.043,0.106,0.084,0.084,0.281,0.301,0.211,0.211,0.059,0.059
0.232,0.51,-0.205,-0.205,-0.768,-0.773,0.043,0.043,0.139,0.139
0.315,-0.358,-0.189,-0.189,0.144,0.135,0.718,0.718,-0.538,-0.538
-0.117,0.042,0.312,0.312,-0.143,-0.149,0.329,0.329,-0.052,-0.052
0.297,0.353,-0.015,-0.015,-0.041,-0.045,-0.096,-0.096,-0.033,-0.033
0.476,0.022,0.345,0.345,0.216,0.191,0.13,0.13,-0.067,-0.067
0.025,0.526,-0.082,-0.082,0.25,0.251,0.165,0.165,-0.295,-0.295
0.414,0.077,0.022,0.022,-0.162,-0.147,0.007,0.007,-0.055,-0.055
