0,1,2,3,4,5,6,7,8,9,10,11
-0.102,-0.28,0.118,0.118,0.28,0.28,0.144,0.144,0.017,0.017,-0.053,-0.053
0.277,0.466,0.089,0.089,0.204,0.204,-0.419,-0.419,0.195,0.195,0.115,0.115
0.061,-0.038,-0.394,-0.394,0.05,0.05,-0.263,-0.263,0.283,0.283,0.228,0.228
-0.021,-0.137,0.188,0.188,0.263,0.263,-0.525,-0.525,-0.199,-0.199,-0.127,-0.127
-0.124,0.271,-0.086,-0.086,0.072,0.072,-0.168,-0.168,0.566,0.566,0.464,0.464
-0.139,0.179,-0.101,-0.101,-0.06,-0.06,0.069,0.069,-0.19,-0.19,-0.028,-0.028
-0.199,-0.313,-0.067,-0.067,-0.105,-0.105,-0.134,-0.134,0.244,0.244,0.191,0.191
-0.029,0.022,0.017,0.017,-0.348,-0.348,-0.035,-0.035,0.18,0.18,0.293,0.293
0.258,-0.113,0.278,0.278,0.673,0.673,0.021,0.021,-0.215,-0.215,-0.205,-0.205
0.216,0.159,0.408,0.408,0.255,0.255,0.121,0.121,-0.062,-0.062,-0.345,-0.345
-0.246,-0.228,0.236,0.236,0.223,0.223,0.04,0.04,-0.021,-0.021,-0.13,-0.13
0.812,0.625,0.103,0.103,0.135,0.135,0.077,0.077,0.321,0.321,0.299,0.299
