0,1,2,3,4,5,6,7,8,9,10,11
1.216,1.216,0.831,0.831,0.225,0.225,0.746,0.746,0.435,0.435,0.345,0.466
0.196,0.196,0.411,0.411,0.772,0.772,0.972,0.885,0.766,0.64,0.64,0.48
0.848,0.848,0.933,0.933,0.238,0.238,0.196,0.684,0.595,0.595,0.467,0.467
0.69,0.69,0.128,0.336,0.336,1.002,0.897,0.581,0.581,0.729,0.657,0.51
0.191,0.294,0.348,0.598,0.598,0.572,0.681,0.681,0.859,0.859,0.887,0.837
0.27,0.27,0.349,0.525,0.525,0.69,0.69,0.886,0.886,0.773,0.773,0.766
0.967,0.82,0.82,0.244,0.244,0.482,0.482,0.469,0.512,0.512,0.704,0.704
0.049,0.126,0.241,0.241,0.825,0.825,0.979,0.85,0.85,0.42,0.619,0.619
