0,1,2,3,4,5,6,7,8,9,10,11
0.0,-0.0,0.0,-0.384,0.384,0.08,-0.08,0.0,0.0,0.015,-0.015,0.0
0.279,-0.279,0.0,-0.06,0.06,-0.042,0.042,0.0,0.0,-0.119,0.119,0.0
0.006,-0.006,0.0,-0.123,0.123,-0.098,0.098,0.0,0.0,-0.059,0.059,0.0
-0.049,0.049,0.0,0.104,-0.104,0.0,-0.0,0.0,0.0,-0.116,0.116,0.0
-0.279,0.279,0.0,-0.05,0.05,0.007,-0.007,0.0,0.0,0.187,-0.187,0.0
0.219,-0.219,0.0,-0.097,0.097,-0.205,0.205,0.0,0.0,-0.015,0.015,0.0
-0.266,0.266,0.0,0.108,-0.108,-0.302,0.302,0.0,0.0,-0.14,0.14,0.0
0.034,-0.034,0.0,0.0,-0.0,0.189,-0.189,0.0,0.0,-0.007,0.007,0.0
-0.259,0.259,0.0,0.109,-0.109,0.265,-0.265,0.0,0.0,0.0,-0.0,0.0
0.36,-0.36,0.0,0.478,-0.478,-0.265,0.265,0.0,0.0,-0.121,0.121,0.0
0.0,-0.0,0.0,-0.136,0.136,0.212,-0.212,0.0,0.0,-0.134,0.134,0.0
-0.153,0.153,0.0,0.081,-0.081,-0.157,0.157,0.0,0.0,-0.026,0.026,0.0
