0,1,2,3,4,5,6,7,8,9,10,11
-0.22,0.22,0.047,-0.047,-0.022,0.022,0.035,-0.035,-0.001,0.001,0.039,-0.039
0.241,-0.241,0.244,-0.244,0.191,-0.191,-0.101,0.101,-0.009,0.009,0.063,-0.063
0.0,-0.0,-0.213,0.213,0.293,-0.293,-0.079,0.079,0.049,-0.049,0.132,-0.132
0.204,-0.204,-0.279,0.279,0.159,-0.159,-0.233,0.233,0.102,-0.102,0.065,-0.065
-0.183,0.183,0.13,-0.13,-0.265,0.265,0.292,-0.292,0.077,-0.077,0.26,-0.26
-0.114,0.114,-0.214,0.214,-0.092,0.092,0.149,-0.149,0.0,-0.0,-0.088,0.088
0.054,-0.054,0.0,-0.0,0.2,-0.2,-0.105,0.105,0.118,-0.118,0.002,-0.002
-0.099,0.099,0.358,-0.358,-0.18,0.18,0.254,-0.254,-0.16,0.16,0.0,-0.0
-0.011,0.011,0.1,-0.1,0.002,-0.002,-0.06,0.06,-0.015,0.015,-0.035,0.035
0.017,-0.017,0.257,-0.257,0.174,-0.174,-0.32,0.32,-0.158,0.158,-0.161,0.161
0.299,-0.299,0.065,-0.065,-0.111,0.111,0.0,-0.0,-0.078,0.078,-0.086,0.086
0.001,-0.001,-0.279,0.279,0.0,-0.0,0.396,-0.396,0.03,-0.03,-0.006,0.006
