0,1,2,3,4,5,6,7,8,9,10,11
0.419,0.419,0.159,0.188,0.188,-0.142,-0.142,-0.205,0.114,-0.177,-0.177,-0.126
0.009,0.009,-0.166,0.098,0.098,-0.083,-0.083,0.355,-0.15,-0.023,-0.023,0.072
-0.324,-0.324,-0.44,-0.056,-0.056,0.068,0.068,-0.104,0.289,0.202,0.202,0.274
0.294,0.294,0.106,-0.073,-0.073,0.472,0.472,0.347,-0.301,0.357,0.357,0.352
-0.135,-0.135,-0.084,-0.138,-0.138,-0.36,-0.36,-0.4,0.43,0.201,0.201,-0.131
0.065,0.065,0.207,-0.012,-0.012,0.157,0.157,0.227,0.063,0.22,0.22,0.388
-0.06,-0.06,0.029,-0.144,-0.144,0.066,0.066,0.239,-0.144,-0.347,-0.347,-0.129
0.112,0.112,0.176,0.614,0.614,-0.112,-0.112,0.165,0.115,0.24,0.24,0.248
0.294,0.294,-0.235,-0.228,-0.228,0.261,0.261,0.162,-0.301,-0.486,-0.486,-0.568
-0.089,-0.089,0.399,0.036,0.036,-0.276,-0.276,-0.313,0.424,0.159,0.159,0.419
0.039,0.039,0.225,-0.038,-0.038,-0.166,-0.166,0.53,-0.531,-0.376,-0.376,-0.132
-0.001,-0.001,-0.629,0.089,0.089,-0.08,-0.08,0.027,0.12,0.104,0.104,0.135
