0,1,2,3,4,5,6,7,8,9,10,11
0.051,0.051,-0.216,0.199,0.199,-0.128,-0.128,-0.049,-0.045,-0.045,0.118,0.052
0.183,0.183,-0.142,-0.1,-0.1,-0.012,-0.012,0.011,-0.272,-0.272,-0.106,-0.204
-0.134,-0.134,-0.414,0.146,0.146,0.018,0.018,0.143,0.301,0.301,-0.225,-0.252
0.103,0.103,-0.058,0.034,0.034,0.297,0.297,0.173,-0.005,-0.005,-0.41,-0.194
0.451,0.451,0.501,0.47,0.47,-0.187,-0.187,0.049,-0.065,-0.065,0.092,-0.475
0.069,0.069,0.268,0.03,0.03,-0.198,-0.198,-0.11,0.04,0.04,-0.492,-0.195
-0.309,-0.309,0.537,0.002,0.002,-0.016,-0.016,-0.256,-0.588,-0.588,-0.3,-0.168
-0.059,-0.059,0.184,-0.352,-0.352,0.105,0.105,-0.298,-0.181,-0.181,0.044,0.022
0.144,0.144,0.134,0.168,0.168,0.007,0.007,0.108,-0.07,-0.07,0.355,0.26
-0.051,-0.051,0.185,0.025,0.025,0.48,0.48,-0.787,-0.169,-0.169,-0.251,0.168
-0.011,-0.011,0.246,-0.096,-0.096,-0.127,-0.127,-0.383,-0.552,-0.552,0.048,0.337
0.279,0.279,-0.036,0.6,0.6,0.081,0.081,-0.011,-0.173,-0.173,0.472,0.594
