0,1,2,3,4,5,6,7,8,9,10,11
-0.008,-0.034,-0.034,0.179,0.055,0.055,0.188,0.188,-0.277,0.125,0.125,0.195
0.623,0.189,0.189,0.316,-0.149,-0.149,-0.196,-0.196,0.04,0.426,0.426,0.317
0.155,0.342,0.342,0.474,0.048,0.048,-0.142,-0.142,0.451,-0.213,-0.213,0.306
-0.219,-0.211,-0.211,-0.025,0.52,0.52,-0.562,-0.562,-0.493,0.664,0.664,-0.293
0.492,0.535,0.535,-0.276,-0.313,-0.313,0.087,0.087,-0.428,0.322,0.322,-0.204
0.263,-0.032,-0.032,-0.608,-0.133,-0.133,-0.107,-0.107,-0.289,0.175,0.175,-0.237
-0.274,0.001,0.001,0.23,-0.27,-0.27,-0.07,-0.07,-0.065,0.213,0.213,-0.131
-0.041,-0.174,-0.174,-0.092,-0.024,-0.024,-0.151,-0.151,0.42,0.156,0.156,-0.011
0.309,-0.011,-0.011,-0.295,0.301,0.301,-0.03,-0.03,0.045,-0.038,-0.038,-0.102
0.192,-0.028,-0.028,0.082,0.024,0.024,-0.004,-0.004,0.027,-0.178,-0.178,0.73
0.109,0.235,0.235,-0.185,-0.055,-0.055,0.185,0.185,0.11,0.011,0.011,-0.149
0.093,0.114,0.114,0.093,-0.252,-0.252,0.215,0.215,0.111,0.085,0.085,0.026
