0,1,2,3,4,5,6,7,8,9,10,11
0.0,-0.038,0.038,0.0,0.061,-0.061,0.052,-0.052,0.0,0.001,-0.001,0.0
0.0,0.123,-0.123,0.0,0.175,-0.175,0.12,-0.12,0.0,0.128,-0.128,0.0
0.0,-0.31,0.31,0.0,-0.048,0.048,0.005,-0.005,0.0,0.047,-0.047,0.0
0.0,0.01,-0.01,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,0.367,-0.367,0.296,-0.296,0.0,-0.135,0.135,0.0
0.0,0.244,-0.244,0.0,-0.192,0.192,0.342,-0.342,0.0,0.085,-0.085,0.0
0.0,-0.111,0.111,0.0,-0.001,0.001,-0.023,0.023,0.0,0.096,-0.096,0.0
0.0,0.072,-0.072,0.0,-0.176,0.176,0.312,-0.312,0.0,-0.007,0.007,0.0
0.0,0.169,-0.169,0.0,-0.1,0.1,-0.277,0.277,0.0,-0.07,0.07,0.0
0.0,0.131,-0.131,0.0,-0.134,0.134,-0.041,0.041,0.0,0.052,-0.052,0.0
0.0,-0.174,0.174,0.0,0.25,-0.25,-0.253,0.253,0.0,0.106,-0.106,0.0
0.0,0.387,-0.387,0.0,0.16,-0.16,0.03,-0.03,0.0,0.029,-0.029,0.0
