0,1,2,3,4,5,6,7,8,9,10,11
-0.267,-0.267,0.201,0.201,0.012,0.012,0.082,0.082,0.111,0.111,-0.03,-0.03
0.279,0.279,0.334,0.334,-0.175,-0.175,-0.026,-0.026,0.124,0.124,-0.143,-0.143
0.395,0.395,0.029,0.029,-0.164,-0.164,-0.158,-0.158,0.293,0.293,-0.122,-0.122
0.215,0.215,0.074,0.074,0.05,0.05,-0.205,-0.205,-0.088,-0.088,0.0,0.0
-0.183,-0.183,-0.027,-0.027,0.34,0.34,-0.259,-0.259,0.408,0.408,0.246,0.246
0.318,0.318,0.177,0.177,-0.09,-0.09,-0.036,-0.036,-0.614,-0.614,0.236,0.236
0.301,0.301,-0.459,-0.459,-0.042,-0.042,0.063,0.063,-0.051,-0.051,0.167,0.167
0.134,0.134,0.015,0.015,0.299,0.299,0.019,0.019,0.177,0.177,0.651,0.651
-0.045,-0.045,0.209,0.209,0.037,0.037,0.003,0.003,0.18,0.18,-0.21,-0.21
0.064,0.064,0.118,0.118,0.08,0.08,-0.005,-0.005,-0.371,-0.371,-0.34,-0.34
0.212,0.212,-0.089,-0.089,-0.21,-0.21,0.578,0.578,0.059,0.059,0.203,0.203
0.239,0.239,-0.009,-0.009,0.576,0.576,0.034,0.034,-0.194,-0.194,0.24,0.24
