0,1,2,3,4,5,6,7,8,9,10,11
-0.132,0.132,0.0,0.04,-0.04,0.037,-0.037,0.0,-0.016,0.016,0.0,0.0
-0.094,0.094,0.0,0.143,-0.143,0.164,-0.164,0.0,-0.132,0.132,0.0,0.0
-0.386,0.386,0.0,-0.085,0.085,-0.287,0.287,0.0,-0.07,0.07,0.0,0.0
-0.261,0.261,0.0,-0.155,0.155,-0.15,0.15,0.0,0.02,-0.02,0.0,0.0
0.0,-0.0,0.0,-0.14,0.14,0.143,-0.143,0.0,-0.083,0.083,0.0,0.0
0.239,-0.239,0.0,0.032,-0.032,-0.122,0.122,0.0,-0.041,0.041,0.0,0.0
0.132,-0.132,0.0,-0.099,0.099,0.33,-0.33,0.0,0.0,-0.0,0.0,0.0
0.153,-0.153,0.0,0.16,-0.16,-0.244,0.244,0.0,0.031,-0.031,0.0,0.0
-0.325,0.325,0.0,-0.009,0.009,0.182,-0.182,0.0,0.028,-0.028,0.0,0.0
0.215,-0.215,0.0,0.209,-0.209,0.0,-0.0,0.0,0.159,-0.159,0.0,0.0
-0.074,0.074,0.0,-0.179,0.179,0.273,-0.273,0.0,-0.054,0.054,0.0,0.0
-0.167,0.167,0.0,0.0,-0.0,0.335,-0.335,0.0,-0.142,0.142,0.0,0.0
