0,1,2,3,4,5,6,7,8,9,10,11
-0.108,-0.108,-0.444,-0.444,0.015,-0.171,-0.171,-0.083,-0.083,0.019,0.019,0.035
-0.454,-0.454,0.1,0.1,0.266,-0.152,-0.152,-0.015,-0.015,0.104,0.104,0.08
0.24,0.24,-0.122,-0.122,-0.225,0.065,0.065,-0.06,-0.06,-0.197,-0.197,-0.33
-0.065,-0.065,-0.186,-0.186,0.052,0.05,0.05,-0.327,-0.327,-0.0,-0.0,0.019
-0.281,-0.281,-0.046,-0.046,0.093,-0.286,-0.286,0.184,0.184,0.015,0.015,-0.309
0.224,0.224,0.206,0.206,0.116,0.027,0.027,-0.175,-0.175,0.26,0.26,0.163
0.194,0.194,-0.377,-0.377,-0.413,0.549,0.549,0.196,0.196,0.187,0.187,0.075
-0.147,-0.147,0.036,0.036,0.024,0.153,0.153,0.106,0.106,-0.113,-0.113,0.003
-0.265,-0.265,0.159,0.159,-0.003,0.032,0.032,0.324,0.324,0.099,0.099,0.107
-0.091,-0.091,0.662,0.662,0.703,-0.025,-0.025,-0.134,-0.134,0.063,0.063,0.406
-0.169,-0.169,-0.079,-0.079,-0.313,0.378,0.378,0.289,0.289,0.343,0.343,0.477
-0.215,-0.215,-0.261,-0.261,-0.299,0.114,0.114,0.465,0.465,0.497,0.497,0.593
