0,1,2,3,4,5,6,7,8,9,10,11
-0.103,0.103,0.026,-0.026,0.0,0.027,-0.027,0.195,-0.195,0.068,-0.068,0.0
0.0,-0.0,0.021,-0.021,0.0,0.206,-0.206,-0.026,0.026,-0.155,0.155,0.0
0.236,-0.236,-0.056,0.056,0.0,0.157,-0.157,0.054,-0.054,0.126,-0.126,0.0
0.328,-0.328,0.022,-0.022,0.0,-0.195,0.195,-0.203,0.203,-0.33,0.33,0.0
-0.157,0.157,-0.036,0.036,0.0,0.078,-0.078,-0.113,0.113,0.071,-0.071,0.0
-0.003,0.003,-0.017,0.017,0.0,-0.168,0.168,0.037,-0.037,-0.06,0.06,0.0
0.117,-0.117,0.027,-0.027,0.0,0.0,-0.0,-0.246,0.246,-0.262,0.262,0.0
0.001,-0.001,0.052,-0.052,0.0,0.067,-0.067,-0.227,0.227,0.084,-0.084,0.0
0.34,-0.34,0.036,-0.036,0.0,0.239,-0.239,0.036,-0.036,0.088,-0.088,0.0
-0.059,0.059,0.0,-0.0,0.0,-0.172,0.172,-0.344,0.344,-0.451,0.451,0.0
0.123,-0.123,-0.058,0.058,0.0,0.126,-0.126,-0.128,0.128,-0.081,0.081,0.0
0.18,-0.18,0.054,-0.054,0.0,0.358,-0.358,0.0,-0.0,0.0,-0.0,0.0
