0,1,2,3,4,5,6,7,8,9,10,11
-0.162,-0.246,0.034,0.034,-0.2,-0.2,-0.097,-0.097,0.084,0.045,0.045,-0.044
-0.144,-0.401,-0.01,-0.01,0.286,0.286,-0.137,-0.137,0.181,-0.019,-0.019,0.006
-0.488,0.008,0.269,0.269,0.396,0.396,0.023,0.023,0.434,-0.256,-0.256,0.185
-0.13,0.066,0.282,0.282,0.066,0.066,0.122,0.122,0.076,-0.046,-0.046,-0.121
-0.092,-0.314,-0.124,-0.124,-0.187,-0.187,0.421,0.421,0.006,0.04,0.04,-0.514
0.151,0.205,0.235,0.235,0.299,0.299,0.091,0.091,-0.24,-0.096,-0.096,-0.047
0.728,0.459,-0.169,-0.169,0.302,0.302,-0.225,-0.225,-0.35,0.148,0.148,-0.23
0.091,-0.413,-0.503,-0.503,0.186,0.186,0.153,0.153,-0.644,0.263,0.263,-0.487
-0.229,-0.309,0.003,0.003,0.016,0.016,-0.028,-0.028,0.14,0.14,0.14,0.08
0.208,0.339,0.045,0.045,-0.008,-0.008,0.019,0.019,0.03,0.092,0.092,0.109
0.086,0.045,-0.148,-0.148,0.291,0.291,-0.591,-0.591,-0.384,0.394,0.394,-0.238
-0.157,0.202,0.289,0.289,0.425,0.425,0.003,0.003,-0.059,0.709,0.709,-0.563
