0,1,2
0.8,0.8,0.866
0.646,0.989,0.989
-0.807,-0.047,-0.135
0.619,0.958,0.958
0.314,-0.093,0.019
0.648,0.989,0.989
0.788,0.788,0.977
0.347,0.16,0.16
0.265,-0.034,-0.228
0.804,0.804,0.796
0.772,0.772,0.884
