0,1,2,3,4,5,6,7
-0.176,-0.11,-0.11,-0.095,-0.095,-0.479,-0.236,-0.236
0.192,0.556,0.556,0.687,0.687,-0.441,-0.063,-0.063
-0.134,0.103,0.103,0.081,0.081,-0.582,0.283,0.283
-0.016,-0.045,-0.045,-0.073,-0.073,0.149,0.598,0.598
0.235,0.589,0.589,0.198,0.198,-0.399,0.229,0.229
0.716,0.348,0.348,0.033,0.033,-0.195,0.033,0.033
0.19,-0.123,-0.123,0.026,0.026,0.129,0.095,0.095
0.557,-0.253,-0.253,-0.118,-0.118,-0.042,0.26,0.26
