0,1,2,3,4,5,6,7
-0.303,-0.303,0.25,0.25,-0.133,-0.133,-0.075,0.054
-0.074,-0.074,-0.015,-0.015,-0.63,-0.63,0.262,-0.784
0.04,0.04,-0.167,-0.167,0.225,0.225,0.282,-0.569
-0.559,-0.559,-0.175,-0.175,0.177,0.177,-0.248,-0.1
-0.094,-0.094,0.435,0.435,0.329,0.329,-0.426,-0.034
0.082,0.082,-0.387,-0.387,-0.402,-0.402,0.758,0.056
-0.584,-0.584,0.152,0.152,0.118,0.118,-0.04,0.11
0.036,0.036,0.05,0.05,0.233,0.233,-0.168,0.179
