0,1,2,3,4,5,6,7,8,9,10
-0.154,-0.154,0.327,0.327,0.722,0.598,0.598,0.362,-0.103,-0.103,0.176
0.169,0.169,-0.167,-0.167,0.048,0.022,0.022,-0.26,0.117,0.117,-0.133
-0.056,-0.056,0.611,0.611,-0.035,-0.302,-0.302,-0.032,-0.167,-0.167,-0.119
0.082,0.082,-0.486,-0.486,-0.332,-0.175,-0.175,-0.509,0.378,0.378,-0.05
-0.384,-0.384,-0.086,-0.086,-0.322,-0.234,-0.234,-0.387,0.119,0.119,0.448
0.163,0.163,-0.112,-0.112,0.417,0.412,0.412,0.41,-0.042,-0.042,-0.028
-0.046,-0.046,-0.251,-0.251,-0.061,0.029,0.029,0.097,-0.054,-0.054,0.037
0.017,0.017,-0.302,-0.302,-0.122,-0.253,-0.253,0.013,-0.308,-0.308,0.273
-0.505,-0.505,-0.138,-0.138,-0.142,-0.135,-0.135,-0.063,-0.031,-0.031,-0.386
0.131,0.131,-0.035,-0.035,-0.218,-0.227,-0.227,-0.442,0.56,0.56,0.676
0.147,0.147,0.201,0.201,0.026,-0.211,-0.211,-0.116,0.303,0.303,0.225
