0,1,2
0.742,0.742,0.751
0.666,0.666,0.743
0.715,0.715,0.741
0.733,0.733,0.708
0.687,0.687,0.705
0.581,0.742,0.742
0.666,0.666,0.758
0.715,0.715,0.829
0.73,0.73,0.678
0.709,0.709,0.758
0.804,0.804,0.754
