0,1,2
0.083,-0.083,0.0
0.329,-0.329,0.0
0.132,-0.132,0.0
0.126,-0.126,0.0
0.073,-0.073,0.0
0.0,0.039,-0.039
0.099,-0.099,0.0
0.152,-0.152,0.0
0.213,-0.213,0.0
0.099,-0.099,0.0
0.091,-0.091,0.0
