5,6,7,8,9,10,11,3,4,13,15,14,17,16,12,30,,,,,
15,18,17,2,1,13,14,20,19,21,23,22,28,27,30,29,10.0,9.0,,,
13,3,4,16,17,19,18,24,23,26,25,15,14,2,1,30,29.0,27.0,,,
7,16,17,4,3,18,19,21,22,1,2,20,5,6,25,26,23.0,24.0,,,
13,12,17,16,15,14,18,19,23,22,25,24,30,20,21,29,26.0,,,,
19,21,20,3,4,23,22,26,25,24,11,12,30,29,2,1,16.0,,,,
20,19,18,21,22,17,16,15,14,24,23,25,2,1,27,30,28.0,,,,
3,5,4,17,18,13,12,1,2,20,19,16,6,7,26,27,22.0,21.0,15.0,14.0,23.0
14,1,2,20,21,23,22,3,4,25,19,18,24,29,26,27,28.0,,,,
5,4,3,6,8,7,9,1,2,10,14,13,12,11,28,29,26.0,27.0,,,
