0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015,0.015,0.112,-0.112,0.08,-0.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.117,0.117,0.237,-0.237,-0.028,0.028
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,-0.138,-0.203,0.203,-0.074,0.074
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,-0.014,0.135,-0.135,0.042,-0.042
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,-0.194,0.017,-0.017,-0.102,0.102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.003,-0.111,0.111,0.086,-0.086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.068,-0.068,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.244,0.244,0.0,-0.0,0.012,-0.012
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,-0.081,-0.038,0.038,0.044,-0.044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.254,0.254,-0.063,0.063,0.013,-0.013
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,-0.133,-0.258,0.258,-0.126,0.126
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,-0.091,-0.037,0.037,-0.06,0.06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.232,0.232,0.227,-0.227,0.021,-0.021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.081,0.081,-0.232,0.232,0.021,-0.021
