0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-0.215,-0.215,0.123,0.123,-0.036,-0.036,0.155,0.155,0.113,0.113,0.325,-0.212,-0.158,-0.158,-0.139,-0.16,-0.16,0.301,0.301,-0.03,-0.03,0.139,0.139,-0.017,-0.017,0.041,0.041,-0.024,-0.024,-0.141,-0.141,-0.118,-0.118,-0.153,0.188,-0.026,-0.026,0.214,0.214,0.217
0.199,0.199,0.11,0.11,0.11,0.11,-0.037,-0.037,0.15,0.15,0.18,0.1,-0.12,-0.12,-0.09,0.012,0.012,0.007,0.007,-0.089,-0.089,-0.073,-0.073,0.047,0.047,0.047,0.047,0.081,0.081,0.107,0.107,-0.012,-0.012,0.042,0.022,-0.068,-0.068,0.148,0.148,0.029
0.159,0.159,-0.147,-0.147,-0.232,-0.232,0.031,0.031,0.075,0.075,-0.032,-0.036,-0.146,-0.146,-0.19,0.12,0.12,0.054,0.054,0.203,0.203,-0.098,-0.098,0.005,0.005,0.088,0.088,-0.136,-0.136,0.049,0.049,-0.123,-0.123,-0.151,0.113,-0.014,-0.014,-0.031,-0.031,-0.003
-0.003,-0.003,0.117,0.117,0.155,0.155,-0.089,-0.089,0.084,0.084,0.062,-0.142,0.038,0.038,-0.193,0.076,0.076,0.088,0.088,0.008,0.008,-0.097,-0.097,0.033,0.033,-0.002,-0.002,-0.072,-0.072,0.126,0.126,0.008,0.008,-0.131,0.187,0.093,0.093,-0.044,-0.044,0.117
0.04,0.04,0.084,0.084,-0.003,-0.003,0.024,0.024,0.097,0.097,-0.308,-0.317,-0.052,-0.052,0.019,0.091,0.091,-0.014,-0.014,0.088,0.088,0.033,0.033,-0.155,-0.155,0.268,0.268,0.068,0.068,0.03,0.03,-0.078,-0.078,0.046,-0.092,-0.195,-0.195,0.074,0.074,0.143
0.087,0.087,-0.13,-0.13,0.152,0.152,0.047,0.047,-0.228,-0.228,-0.002,-0.074,0.128,0.128,0.082,-0.087,-0.087,-0.021,-0.021,0.005,0.005,-0.086,-0.086,-0.062,-0.062,0.015,0.015,0.004,0.004,-0.084,-0.084,0.039,0.039,0.016,-0.091,-0.093,-0.093,0.059,0.059,0.256
0.045,0.045,0.079,0.079,-0.056,-0.056,-0.004,-0.004,-0.199,-0.199,-0.196,-0.086,-0.094,-0.094,0.15,-0.117,-0.117,0.077,0.077,-0.09,-0.09,-0.035,-0.035,0.058,0.058,0.185,0.185,0.109,0.109,-0.139,-0.139,0.063,0.063,-0.011,0.08,-0.132,-0.132,0.088,0.088,0.217
-0.035,-0.035,-0.111,-0.111,-0.08,-0.08,-0.046,-0.046,-0.098,-0.098,-0.102,0.067,0.003,0.003,-0.021,-0.207,-0.207,0.231,0.231,-0.009,-0.009,-0.095,-0.095,0.04,0.04,0.026,0.026,0.046,0.046,-0.11,-0.11,0.01,0.01,0.025,0.093,0.036,0.036,-0.201,-0.201,-0.023
-0.116,-0.116,0.022,0.022,0.108,0.108,-0.056,-0.056,-0.117,-0.117,-0.161,-0.076,-0.136,-0.136,0.001,-0.109,-0.109,0.091,0.091,-0.066,-0.066,-0.021,-0.021,-0.138,-0.138,-0.077,-0.077,0.062,0.062,-0.013,-0.013,0.022,0.022,0.09,-0.133,-0.076,-0.076,-0.333,-0.333,-0.326
0.061,0.061,0.197,0.197,-0.011,-0.011,0.013,0.013,0.133,0.133,-0.16,0.316,-0.07,-0.07,0.037,-0.038,-0.038,0.056,0.056,0.033,0.033,0.035,0.035,0.111,0.111,0.018,0.018,0.015,0.015,0.168,0.168,-0.204,-0.204,0.056,-0.012,-0.065,-0.065,0.124,0.124,0.036
0.217,0.217,-0.026,-0.026,-0.103,-0.103,0.022,0.022,-0.179,-0.179,-0.101,-0.072,-0.022,-0.022,0.133,-0.028,-0.028,0.038,0.038,-0.109,-0.109,0.047,0.047,-0.126,-0.126,0.022,0.022,0.146,0.146,0.161,0.161,-0.222,-0.222,0.158,-0.276,-0.063,-0.063,-0.129,-0.129,-0.227
-0.191,-0.191,0.037,0.037,0.12,0.12,0.189,0.189,-0.031,-0.031,0.097,-0.064,0.161,0.161,0.042,-0.061,-0.061,0.063,0.063,-0.069,-0.069,-0.187,-0.187,0.078,0.078,0.043,0.043,0.116,0.116,0.062,0.062,0.071,0.071,0.15,-0.112,-0.13,-0.13,-0.055,-0.055,-0.115
0.172,0.172,0.102,0.102,-0.134,-0.134,0.152,0.152,0.124,0.124,0.101,0.055,-0.02,-0.02,-0.023,-0.064,-0.064,0.019,0.019,0.125,0.125,0.073,0.073,0.293,0.293,-0.072,-0.072,-0.204,-0.204,-0.007,-0.007,-0.205,-0.205,-0.283,0.227,0.024,0.024,0.249,0.249,0.315
0.072,0.072,0.098,0.098,-0.103,-0.103,0.034,0.034,0.029,0.029,-0.195,-0.082,0.12,0.12,-0.032,-0.053,-0.053,0.121,0.121,-0.133,-0.133,-0.143,-0.143,-0.05,-0.05,-0.048,-0.048,0.107,0.107,0.02,0.02,-0.05,-0.05,0.144,-0.162,0.101,0.101,-0.008,-0.008,-0.148
-0.269,-0.269,0.192,0.192,-0.075,-0.075,0.233,0.233,0.366,0.366,0.391,-0.146,0.094,0.094,-0.285,0.328,0.328,-0.368,-0.368,0.018,0.018,-0.245,-0.245,-0.254,-0.254,0.103,0.103,-0.038,-0.038,0.153,0.153,-0.041,-0.041,0.008,0.0,-0.326,-0.326,-0.006,-0.006,0.075
-0.234,-0.234,0.039,0.039,0.007,0.007,-0.06,-0.06,0.162,0.162,0.028,-0.047,-0.128,-0.128,-0.372,0.2,0.2,-0.068,-0.068,0.223,0.223,0.03,0.03,-0.131,-0.131,0.028,0.028,-0.26,-0.26,0.046,0.046,-0.011,-0.011,-0.163,0.008,-0.086,-0.086,0.024,0.024,-0.023
0.097,0.097,-0.11,-0.11,0.126,0.126,-0.319,-0.319,-0.304,-0.304,-0.088,-0.253,-0.039,-0.039,0.163,-0.172,-0.172,0.053,0.053,0.007,0.007,0.229,0.229,-0.236,-0.236,-0.079,-0.079,-0.19,-0.19,-0.377,-0.377,0.369,0.369,-0.214,0.147,-0.131,-0.131,-0.064,-0.064,0.244
0.105,0.105,0.072,0.072,-0.261,-0.261,0.133,0.133,0.064,0.064,0.267,0.037,-0.016,-0.016,-0.176,0.133,0.133,-0.12,-0.12,-0.084,-0.084,-0.01,-0.01,0.114,0.114,0.104,0.104,0.134,0.134,0.054,0.054,-0.006,-0.006,0.209,-0.211,0.09,0.09,0.01,0.01,-0.016
-0.088,-0.088,-0.086,-0.086,0.075,0.075,0.121,0.121,-0.092,-0.092,0.021,-0.053,-0.072,-0.072,0.208,-0.112,-0.112,0.172,0.172,0.195,0.195,-0.009,-0.009,-0.076,-0.076,0.157,0.157,-0.16,-0.16,0.083,0.083,-0.214,-0.214,-0.174,0.032,-0.129,-0.129,0.041,0.041,0.132
-0.147,-0.147,-0.007,-0.007,-0.149,-0.149,0.175,0.175,0.112,0.112,0.288,-0.286,0.025,0.025,-0.063,0.113,0.113,-0.063,-0.063,-0.081,-0.081,0.101,0.101,-0.044,-0.044,-0.114,-0.114,0.008,0.008,0.013,0.013,0.015,0.015,-0.078,0.128,0.055,0.055,0.25,0.25,-0.021
-0.188,-0.188,0.016,0.016,0.008,0.008,0.2,0.2,0.112,0.112,0.005,-0.082,-0.044,-0.044,-0.047,0.074,0.074,-0.426,-0.426,0.158,0.158,-0.133,-0.133,-0.231,-0.231,0.202,0.202,-0.158,-0.158,0.1,0.1,0.154,0.154,-0.155,0.017,-0.253,-0.253,-0.265,-0.265,-0.021
-0.027,-0.027,0.044,0.044,-0.284,-0.284,-0.05,-0.05,0.164,0.164,0.067,0.161,0.104,0.104,-0.268,0.272,0.272,-0.186,-0.186,-0.202,-0.202,0.044,0.044,0.152,0.152,-0.14,-0.14,0.182,0.182,0.128,0.128,0.019,0.019,0.152,0.026,-0.08,-0.08,-0.045,-0.045,0.005
-0.016,-0.016,0.112,0.112,-0.002,-0.002,0.059,0.059,0.126,0.126,0.089,0.371,0.172,0.172,-0.179,0.042,0.042,-0.064,-0.064,0.004,0.004,-0.055,-0.055,0.107,0.107,-0.039,-0.039,0.089,0.089,0.078,0.078,-0.029,-0.029,0.044,0.003,0.003,0.003,0.136,0.136,-0.061
