0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.216,-0.216,-0.013,0.013,0.0,0.0,-0.077,0.077,-0.066,0.066,0.0,0.114,-0.114,0.0,0.048,-0.048,0.0,0.0,0.135,-0.135,0.0,0.0,0.0,0.0,0.0,-0.04,0.04,0.0,0.0,0.0,0.157,-0.157,0.087,-0.087,-0.058,0.058,-0.068,0.068,0.041,-0.041
-0.15,0.15,-0.038,0.038,0.0,0.0,0.017,-0.017,0.003,-0.003,0.0,-0.037,0.037,0.0,0.055,-0.055,0.0,0.0,-0.056,0.056,0.0,0.0,0.0,0.0,0.0,-0.114,0.114,0.0,0.0,0.0,-0.065,0.065,-0.047,0.047,-0.049,0.049,-0.013,0.013,0.099,-0.099
0.036,-0.036,0.093,-0.093,0.0,0.0,0.024,-0.024,-0.071,0.071,0.0,0.105,-0.105,0.0,-0.05,0.05,0.0,0.0,-0.184,0.184,0.0,0.0,0.0,0.0,0.0,-0.102,0.102,0.0,0.0,0.0,0.201,-0.201,0.002,-0.002,0.116,-0.116,0.008,-0.008,-0.038,0.038
-0.039,0.039,0.045,-0.045,0.0,0.0,0.072,-0.072,-0.04,0.04,0.0,-0.009,0.009,0.0,-0.174,0.174,0.0,0.0,0.023,-0.023,0.0,0.0,0.0,0.0,0.0,0.102,-0.102,0.0,0.0,0.0,-0.016,0.016,-0.06,0.06,0.003,-0.003,-0.081,0.081,0.045,-0.045
-0.153,0.153,0.078,-0.078,0.0,0.0,0.103,-0.103,-0.098,0.098,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.136,-0.136,0.0,0.0,0.0,0.0,0.0,-0.097,0.097,0.0,0.0,0.0,-0.109,0.109,-0.029,0.029,0.021,-0.021,0.086,-0.086,0.04,-0.04
0.098,-0.098,-0.152,0.152,0.0,0.0,-0.018,0.018,0.055,-0.055,0.0,-0.019,0.019,0.0,-0.079,0.079,0.0,0.0,-0.163,0.163,0.0,0.0,0.0,0.0,0.0,-0.108,0.108,0.0,0.0,0.0,-0.088,0.088,-0.066,0.066,0.029,-0.029,-0.007,0.007,-0.034,0.034
-0.045,0.045,-0.02,0.02,0.0,0.0,0.009,-0.009,-0.017,0.017,0.0,-0.018,0.018,0.0,-0.091,0.091,0.0,0.0,0.093,-0.093,0.0,0.0,0.0,0.0,0.0,-0.091,0.091,0.0,0.0,0.0,0.025,-0.025,-0.032,0.032,0.051,-0.051,-0.028,0.028,-0.006,0.006
-0.15,0.15,-0.096,0.096,0.0,0.0,-0.011,0.011,0.025,-0.025,0.0,-0.009,0.009,0.0,-0.122,0.122,0.0,0.0,0.058,-0.058,0.0,0.0,0.0,0.0,0.0,0.228,-0.228,0.0,0.0,0.0,0.025,-0.025,0.135,-0.135,0.111,-0.111,0.035,-0.035,0.147,-0.147
0.061,-0.061,0.025,-0.025,0.0,0.0,0.079,-0.079,-0.072,0.072,0.0,-0.011,0.011,0.0,0.034,-0.034,0.0,0.0,0.031,-0.031,0.0,0.0,0.0,0.0,0.0,-0.008,0.008,0.0,0.0,0.0,-0.144,0.144,0.018,-0.018,0.122,-0.122,0.008,-0.008,-0.05,0.05
0.115,-0.115,0.091,-0.091,0.0,0.0,0.019,-0.019,-0.051,0.051,0.0,0.096,-0.096,0.0,0.109,-0.109,0.0,0.0,-0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.081,-0.081,0.0,0.0,0.0,0.11,-0.11,0.058,-0.058,0.0,-0.0,0.027,-0.027,0.027,-0.027
0.289,-0.289,-0.049,0.049,0.0,0.0,-0.016,0.016,0.014,-0.014,0.0,-0.078,0.078,0.0,0.124,-0.124,0.0,0.0,-0.135,0.135,0.0,0.0,0.0,0.0,0.0,0.095,-0.095,0.0,0.0,0.0,0.022,-0.022,0.034,-0.034,-0.031,0.031,0.008,-0.008,-0.047,0.047
-0.005,0.005,0.129,-0.129,0.0,0.0,0.033,-0.033,-0.008,0.008,0.0,0.07,-0.07,0.0,0.014,-0.014,0.0,0.0,-0.047,0.047,0.0,0.0,0.0,0.0,0.0,0.163,-0.163,0.0,0.0,0.0,-0.005,0.005,-0.021,0.021,-0.117,0.117,-0.045,0.045,-0.069,0.069
0.035,-0.035,-0.079,0.079,0.0,0.0,-0.08,0.08,0.012,-0.012,0.0,0.008,-0.008,0.0,-0.044,0.044,0.0,0.0,0.034,-0.034,0.0,0.0,0.0,0.0,0.0,-0.081,0.081,0.0,0.0,0.0,0.097,-0.097,0.021,-0.021,0.02,-0.02,0.104,-0.104,0.076,-0.076
0.0,-0.0,0.0,-0.0,0.0,0.0,0.081,-0.081,0.106,-0.106,0.0,0.001,-0.001,0.0,-0.075,0.075,0.0,0.0,-0.171,0.171,0.0,0.0,0.0,0.0,0.0,0.127,-0.127,0.0,0.0,0.0,0.19,-0.19,0.06,-0.06,-0.041,0.041,-0.025,0.025,-0.117,0.117
-0.034,0.034,-0.089,0.089,0.0,0.0,0.064,-0.064,0.124,-0.124,0.0,0.164,-0.164,0.0,0.12,-0.12,0.0,0.0,-0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.005,-0.005,0.0,0.0,0.0,-0.171,0.171,-0.059,0.059,0.049,-0.049,0.048,-0.048,0.012,-0.012
0.065,-0.065,0.203,-0.203,0.0,0.0,0.02,-0.02,-0.041,0.041,0.0,0.013,-0.013,0.0,-0.042,0.042,0.0,0.0,-0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.049,-0.049,0.126,-0.126,-0.013,0.013,0.002,-0.002,0.065,-0.065
0.044,-0.044,0.044,-0.044,0.0,0.0,0.115,-0.115,-0.049,0.049,0.0,0.075,-0.075,0.0,-0.037,0.037,0.0,0.0,0.095,-0.095,0.0,0.0,0.0,0.0,0.0,-0.006,0.006,0.0,0.0,0.0,-0.003,0.003,-0.155,0.155,-0.012,0.012,0.042,-0.042,-0.022,0.022
0.055,-0.055,-0.134,0.134,0.0,0.0,-0.038,0.038,-0.044,0.044,0.0,-0.035,0.035,0.0,0.139,-0.139,0.0,0.0,-0.117,0.117,0.0,0.0,0.0,0.0,0.0,-0.001,0.001,0.0,0.0,0.0,-0.178,0.178,-0.034,0.034,0.178,-0.178,0.123,-0.123,0.097,-0.097
0.1,-0.1,-0.06,0.06,0.0,0.0,-0.099,0.099,-0.065,0.065,0.0,0.026,-0.026,0.0,0.018,-0.018,0.0,0.0,-0.023,0.023,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.056,-0.056,0.029,-0.029,0.088,-0.088,0.046,-0.046,-0.088,0.088
-0.044,0.044,0.204,-0.204,0.0,0.0,0.192,-0.192,0.16,-0.16,0.0,0.048,-0.048,0.0,-0.163,0.163,0.0,0.0,-0.224,0.224,0.0,0.0,0.0,0.0,0.0,-0.093,0.093,0.0,0.0,0.0,-0.003,0.003,0.013,-0.013,-0.005,0.005,-0.094,0.094,0.0,-0.0
0.128,-0.128,-0.015,0.015,0.0,0.0,0.093,-0.093,-0.036,0.036,0.0,0.119,-0.119,0.0,0.098,-0.098,0.0,0.0,0.082,-0.082,0.0,0.0,0.0,0.0,0.0,-0.239,0.239,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.094,0.094,-0.146,0.146,-0.066,0.066
-0.0,0.0,0.063,-0.063,0.0,0.0,0.012,-0.012,-0.016,0.016,0.0,0.161,-0.161,0.0,0.153,-0.153,0.0,0.0,0.04,-0.04,0.0,0.0,0.0,0.0,0.0,-0.008,0.008,0.0,0.0,0.0,0.055,-0.055,0.031,-0.031,-0.01,0.01,-0.014,0.014,-0.044,0.044
