0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.22,0.22,-0.002,-0.002,-0.139,-0.139,0.022,0.022,0.072,-0.11,0.123,0.176,-0.097,0.014,0.014,-0.06,-0.135,0.187,0.187,-0.061,0.035,0.035,-0.004,-0.004,-0.164,-0.164,-0.094,-0.094,0.164,0.164,0.046,0.148,-0.016,0.063,0.142,0.142,0.075,0.147
-0.018,-0.018,0.121,0.121,-0.085,-0.085,-0.018,-0.018,-0.1,-0.006,0.09,-0.027,0.323,-0.118,-0.118,0.317,0.217,0.203,0.203,0.062,-0.117,-0.117,0.13,0.13,-0.044,-0.044,0.1,0.1,0.009,0.009,0.03,0.064,0.064,0.058,0.014,0.014,-0.052,-0.038
-0.156,-0.156,-0.364,-0.364,0.301,0.301,0.4,0.4,0.201,-0.216,0.213,-0.079,-0.119,0.065,0.065,-0.015,0.038,0.019,0.019,-0.208,-0.09,-0.09,0.046,0.046,0.101,0.101,-0.019,-0.019,0.01,0.01,0.132,0.05,-0.073,0.427,-0.213,-0.213,-0.274,-0.322
-0.073,-0.073,0.04,0.04,0.133,0.133,-0.08,-0.08,0.102,0.239,-0.137,-0.088,-0.098,0.112,0.112,-0.11,-0.157,0.18,0.18,-0.147,-0.099,-0.099,0.206,0.206,0.02,0.02,-0.047,-0.047,0.043,0.043,0.261,0.213,0.018,0.061,0.237,0.237,-0.024,0.169
-0.06,-0.06,0.238,0.238,-0.063,-0.063,-0.191,-0.191,-0.189,0.317,-0.348,0.406,0.008,-0.045,-0.045,-0.168,-0.104,-0.171,-0.171,-0.228,0.212,0.212,0.029,0.029,0.128,0.128,-0.093,-0.093,-0.067,-0.067,0.187,0.292,-0.147,-0.098,0.093,0.093,0.179,0.062
0.266,0.266,-0.097,-0.097,0.077,0.077,-0.317,-0.317,-0.24,0.143,-0.052,0.014,0.341,-0.239,-0.239,0.329,0.137,0.239,0.239,0.054,-0.316,-0.316,-0.038,-0.038,0.117,0.117,-0.044,-0.044,-0.147,-0.147,0.165,0.05,0.021,-0.132,-0.015,-0.015,0.157,0.152
-0.013,-0.013,0.151,0.151,-0.091,-0.091,-0.127,-0.127,-0.315,-0.197,0.241,-0.116,-0.073,0.035,0.035,-0.282,-0.378,0.164,0.164,-0.393,0.087,0.087,0.071,0.071,0.102,0.102,-0.035,-0.035,0.004,0.004,0.15,0.087,0.252,0.108,0.015,0.015,-0.099,-0.048
-0.036,-0.036,-0.372,-0.372,0.341,0.341,0.048,0.048,0.299,0.192,-0.243,0.052,0.184,-0.086,-0.086,0.038,-0.132,0.125,0.125,-0.268,0.158,0.158,0.041,0.041,-0.338,-0.338,0.003,0.003,0.281,0.281,0.169,0.218,-0.053,-0.013,0.011,0.011,0.108,0.04
-0.061,-0.061,0.089,0.089,-0.044,-0.044,0.018,0.018,-0.145,0.315,-0.327,0.227,0.199,-0.139,-0.139,-0.335,-0.392,0.02,0.02,0.028,0.044,0.044,-0.103,-0.103,0.08,0.08,-0.046,-0.046,-0.121,-0.121,-0.023,0.064,-0.26,-0.168,-0.037,-0.037,0.062,0.222
0.028,0.028,0.002,0.002,-0.068,-0.068,-0.178,-0.178,-0.046,0.003,0.006,-0.084,0.084,-0.045,-0.045,0.079,-0.011,0.002,0.002,-0.149,-0.078,-0.078,-0.1,-0.1,0.026,0.026,-0.193,-0.193,0.074,0.074,0.061,0.17,-0.125,0.159,0.159,0.159,0.069,-0.145
-0.095,-0.095,-0.022,-0.022,-0.015,-0.015,0.126,0.126,0.128,0.033,-0.118,0.054,0.025,-0.01,-0.01,0.178,0.271,0.106,0.106,0.255,0.058,0.058,0.035,0.035,-0.02,-0.02,-0.006,-0.006,-0.026,-0.026,-0.033,0.032,-0.069,-0.116,0.038,0.038,0.111,0.38
0.044,0.044,0.107,0.107,-0.145,-0.145,-0.143,-0.143,0.041,0.148,-0.221,0.253,-0.117,0.096,0.096,-0.268,-0.093,0.012,0.012,0.025,-0.176,-0.176,0.073,0.073,-0.171,-0.171,-0.166,-0.166,0.045,0.045,0.057,-0.099,0.026,0.104,-0.092,-0.092,-0.167,-0.159
0.095,0.095,0.215,0.215,-0.201,-0.201,-0.307,-0.307,0.025,0.028,0.2,-0.23,-0.113,0.097,0.097,-0.027,0.071,-0.165,-0.165,-0.079,0.088,0.088,0.131,0.131,-0.067,-0.067,0.089,0.089,0.103,0.103,0.024,-0.067,-0.1,0.147,-0.183,-0.183,-0.102,-0.119
0.111,0.111,-0.015,-0.015,-0.017,-0.017,-0.055,-0.055,0.14,0.071,-0.083,-0.014,0.098,-0.002,-0.002,-0.151,0.012,0.082,0.082,0.006,0.148,0.148,-0.165,-0.165,0.227,0.227,-0.169,-0.169,-0.212,-0.212,-0.015,-0.212,0.122,-0.117,-0.049,-0.049,-0.079,-0.079
-0.23,-0.23,0.017,0.017,0.159,0.159,0.047,0.047,-0.045,-0.116,0.028,-0.002,0.104,0.051,0.051,-0.054,0.004,0.061,0.061,0.052,-0.052,-0.052,0.13,0.13,0.201,0.201,-0.03,-0.03,-0.076,-0.076,0.014,-0.029,-0.12,-0.065,0.012,0.012,0.093,0.097
0.001,0.001,-0.126,-0.126,0.168,0.168,0.327,0.327,0.049,0.024,0.031,-0.12,0.13,-0.072,-0.072,-0.053,-0.05,-0.096,-0.096,-0.086,-0.052,-0.052,0.198,0.198,-0.046,-0.046,-0.065,-0.065,0.023,0.023,-0.084,-0.148,0.197,-0.116,-0.026,-0.026,0.161,-0.067
-0.052,-0.052,-0.337,-0.337,0.092,0.092,0.126,0.126,-0.046,0.179,0.033,-0.25,-0.049,0.128,0.128,0.09,0.219,-0.182,-0.182,-0.049,0.074,0.074,-0.058,-0.058,0.308,0.308,-0.25,-0.25,-0.293,-0.293,0.0,-0.171,0.121,-0.035,-0.089,-0.089,-0.11,0.022
-0.219,-0.219,-0.079,-0.079,0.026,0.026,0.171,0.171,-0.034,-0.136,0.219,-0.245,-0.074,0.082,0.082,-0.085,-0.185,0.053,0.053,-0.077,-0.085,-0.085,-0.086,-0.086,-0.057,-0.057,-0.015,-0.015,-0.05,-0.05,0.153,0.079,-0.069,-0.332,0.321,0.321,0.329,0.165
0.135,0.135,-0.178,-0.178,0.173,0.173,-0.061,-0.061,-0.211,0.197,-0.17,0.043,0.072,-0.176,-0.176,0.005,0.135,-0.22,-0.22,-0.147,-0.1,-0.1,0.084,0.084,-0.12,-0.12,0.251,0.251,0.17,0.17,-0.033,-0.054,0.019,-0.081,0.156,0.156,0.179,-0.019
0.23,0.23,0.01,0.01,0.131,0.131,0.186,0.186,-0.134,-0.038,0.034,-0.015,-0.022,0.052,0.052,-0.161,-0.046,-0.132,-0.132,-0.069,0.201,0.201,-0.022,-0.022,-0.026,-0.026,-0.13,-0.13,-0.039,-0.039,-0.263,-0.289,-0.324,0.022,-0.122,-0.122,-0.081,-0.031
