0,1,2,3,4,5,6,7,8,9
0.0,-0.177,0.177,-0.08,0.08,0.0,-0.118,0.118,0.0,0.0
0.0,-0.439,0.439,-0.343,0.343,0.0,0.075,-0.075,0.0,0.0
0.0,0.0,-0.0,0.298,-0.298,0.0,0.0,-0.0,0.0,0.0
0.0,0.2,-0.2,0.0,-0.0,0.0,0.196,-0.196,0.0,0.0
0.0,0.109,-0.109,0.311,-0.311,0.0,0.109,-0.109,0.0,0.0
0.0,0.014,-0.014,-0.145,0.145,0.0,0.063,-0.063,0.0,0.0
0.0,-0.33,0.33,0.188,-0.188,0.0,0.136,-0.136,0.0,0.0
0.0,0.056,-0.056,0.346,-0.346,0.0,-0.012,0.012,0.0,0.0
0.0,-0.013,0.013,-0.06,0.06,0.0,-0.008,0.008,0.0,0.0
0.0,-0.164,0.164,-0.198,0.198,0.0,0.07,-0.07,0.0,0.0
