0,1,2,3,4,5,6,7,8,9
0.329,-0.053,-0.145,0.377,-0.332,-0.332,-0.349,-0.349,-0.398,0.247
-0.184,-0.641,-0.485,0.667,-0.022,-0.022,-0.023,-0.023,-0.499,0.04
-0.001,-0.308,0.351,-0.36,0.059,0.059,0.095,0.095,0.028,0.394
-0.258,0.46,0.252,0.351,-0.238,-0.238,-0.41,-0.41,0.116,0.261
-0.089,0.213,-0.056,-0.08,0.141,0.141,0.562,0.562,-0.282,0.655
-0.405,0.293,0.215,-0.059,-0.152,-0.152,-0.015,-0.015,-0.439,-0.339
-0.048,0.205,0.088,-0.314,0.355,0.355,-0.237,-0.237,0.474,0.263
0.601,0.233,0.442,0.145,0.255,0.255,0.217,0.217,-0.229,-0.169
-0.451,-0.161,0.446,0.146,0.083,0.083,0.047,0.047,-0.156,-0.056
-0.23,-0.162,-0.326,0.099,0.484,0.484,0.176,0.176,-0.064,0.261
