0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.157,-0.157,0.113,-0.113,0.043,-0.043,0.0
0.0,0.0,0.259,-0.259,0.0,0.0,0.098,-0.098,0.0,0.0
0.0,0.0,0.0,0.0,0.19,-0.19,0.096,-0.096,0.0,0.0
0.0,0.0,0.0,0.0,0.233,-0.233,0.133,-0.133,0.0,0.0
0.0,0.0,0.0,0.111,-0.111,0.0,0.06,-0.06,0.0,0.0
0.0,0.069,-0.069,0.0,0.0,0.107,-0.107,0.0,0.012,-0.012
0.0,0.0,0.0,0.103,-0.103,0.12,-0.12,0.0,0.0,0.0
0.0,0.0,0.0,0.071,-0.071,0.051,-0.051,0.0,0.007,-0.007
0.0,0.0,0.0,0.181,-0.181,0.049,-0.049,0.0,0.069,-0.069
0.0,0.324,-0.324,0.221,-0.221,0.0,0.04,-0.04,0.0,0.0
