7,6,5,4,10,9,8.0,
6,4,3,8,7,9,10.0,
8,7,6,5,4,10,,
8,7,6,5,10,4,9.0,
5,4,8,7,9,10,6.0,
3,2,10,9,4,7,6.0,
5,4,7,6,9,8,,
7,6,8,10,9,5,4.0,
8,10,9,5,4,7,6.0,
8,7,10,9,5,4,3.0,2.0
