0,1,2,3,4,5,6,7,8,9,10
0.0,-0.108,0.108,0.0,-0.055,0.055,0.0,0.17,-0.17,0.0,0.0
0.0,0.27,-0.27,0.0,0.043,-0.043,0.0,0.0,-0.0,0.0,0.0
0.0,-0.11,0.11,0.0,-0.009,0.009,0.0,0.109,-0.109,0.0,0.0
0.0,0.268,-0.268,0.0,0.136,-0.136,0.0,0.2,-0.2,0.0,0.0
0.0,-0.143,0.143,0.0,-0.508,0.508,0.0,-0.251,0.251,0.0,0.0
0.0,0.0,-0.0,0.0,-0.098,0.098,0.0,0.17,-0.17,0.0,0.0
0.0,0.026,-0.026,0.0,0.046,-0.046,0.0,0.116,-0.116,0.0,0.0
0.0,-0.316,0.316,0.0,-0.024,0.024,0.0,-0.2,0.2,0.0,0.0
0.0,-0.226,0.226,0.0,0.056,-0.056,0.0,0.226,-0.226,0.0,0.0
0.0,-0.014,0.014,0.0,0.0,-0.0,0.0,0.033,-0.033,0.0,0.0
0.0,0.045,-0.045,0.0,-0.046,0.046,0.0,0.108,-0.108,0.0,0.0
