0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,-0.055,0.055,0.061,-0.061,-0.014,0.014
0.0,0.0,0.0,0.0,-0.125,0.125,0.054,-0.054,-0.068,0.068
0.0,0.0,0.0,0.0,-0.163,0.163,-0.424,0.424,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,-0.397,0.397,-0.012,0.012
0.0,0.0,0.0,0.0,-0.108,0.108,0.0,-0.0,0.039,-0.039
0.0,0.0,0.0,0.0,-0.245,0.245,0.149,-0.149,-0.017,0.017
0.0,0.0,0.0,0.0,-0.016,0.016,-0.102,0.102,0.069,-0.069
0.0,0.0,0.0,0.0,-0.154,0.154,-0.089,0.089,0.053,-0.053
0.0,0.0,0.0,0.0,-0.209,0.209,-0.009,0.009,0.001,-0.001
0.0,0.0,0.0,0.0,0.393,-0.393,0.124,-0.124,-0.054,0.054
