5,4,7,6,10,9,8.0
10,4,3,9,8,7,6.0
6,5,4,9,8,7,
5,6,4,3,8,7,9.0
6,5,9,8,7,10,3.0
6,5,4,3,10,8,7.0
6,5,4,8,7,10,9.0
5,4,3,9,10,8,7.0
5,4,3,7,9,8,10.0
7,9,8,4,3,6,10.0
