0,1,2,3,4,5,6,7,8,9
-0.242,-0.487,-0.057,-0.11,-0.11,0.054,0.054,-0.088,-0.088,-0.233
0.15,-0.378,-0.199,0.267,0.267,-0.083,-0.083,0.535,0.535,0.242
-0.263,-0.024,-0.086,0.431,0.431,-0.078,-0.078,-0.069,-0.069,0.287
0.002,0.529,0.708,-0.027,-0.027,0.067,0.067,0.03,0.03,0.029
-0.26,-0.048,0.09,0.55,0.55,0.097,0.097,0.125,0.125,0.01
0.524,0.029,-0.447,0.359,0.359,-0.424,-0.424,0.213,0.213,0.407
0.355,-0.211,-0.237,0.058,0.058,0.578,0.578,-0.254,-0.254,-0.117
0.558,-0.389,0.37,0.077,0.077,-0.23,-0.23,0.093,0.093,0.25
-0.172,0.372,0.164,0.313,0.313,0.091,0.091,0.242,0.242,0.514
-0.201,-0.06,-0.144,-0.176,-0.176,-0.239,-0.239,0.052,0.052,0.546
